{'method': 'CDAN+E', 'gpu': '0', 'num_iterations': 150000, 'test_interval': 200, 'snapshot_interval': 5000, 'output_for_test': True, 'output_path': 'snapshot/san', 'out_file': <_io.TextIOWrapper name='snapshot/san/log.txt' mode='w' encoding='UTF-8'>, 'prep': {'test_10crop': False, 'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1.0, 'random': False, 'random_dim': 1024}, 'network': {'name': <class 'network.ResNetFc'>, 'params': {'resnet_name': 'ResNet50', 'use_bottleneck': True, 'bottleneck_dim': 256, 'new_cls': True, 'class_num': 87}}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_param': {'lr': 0.0002, 'gamma': 0.001, 'power': 0.75}}, 'dataset': 'office', 'data': {'source': {'list_path': '/home/adarsh/project/CDAN/pytorch/sketchy_train.txt', 'batch_size': 32}, 'target': {'list_path': '/home/adarsh/project/CDAN/pytorch/quick_draw_train.txt', 'batch_size': 32}, 'test': {'list_path': '/home/adarsh/project/CDAN/pytorch/quick_draw_val.txt', 'batch_size': 32}, 'source_test': {'list_path': '/home/adarsh/project/CDAN/pytorch/sketchy_val.txt', 'batch_size': 32}}}iter: 00199, precision: 0.05747
iter: 99199, precision: 0.43836
iter: 99399, precision: 0.44084
iter: 99599, precision: 0.43611
iter: 99799, precision: 0.44264
iter: 99999, precision: 0.43926
iter: 100199, precision: 0.44377
iter: 100399, precision: 0.43768
iter: 100599, precision: 0.44377
iter: 100799, precision: 0.44061
iter: 100999, precision: 0.44039
iter: 101199, precision: 0.43791
iter: 101399, precision: 0.44332
iter: 101599, precision: 0.43723
iter: 101799, precision: 0.44242
iter: 101999, precision: 0.44535
iter: 102199, precision: 0.43791
iter: 102399, precision: 0.43971
iter: 102599, precision: 0.43070
iter: 102799, precision: 0.44129
iter: 102999, precision: 0.43565
iter: 103199, precision: 0.43926
iter: 103399, precision: 0.44783
iter: 103599, precision: 0.43678
iter: 103799, precision: 0.43813
iter: 103999, precision: 0.43881
iter: 104199, precision: 0.43881
iter: 104399, precision: 0.43836
iter: 104599, precision: 0.44219
iter: 104799, precision: 0.44219
iter: 104999, precision: 0.43949
iter: 105199, precision: 0.43408
iter: 105399, precision: 0.43904
iter: 105599, precision: 0.44129
iter: 105799, precision: 0.44174
iter: 105999, precision: 0.44287
iter: 106199, precision: 0.44219
iter: 106399, precision: 0.43768
iter: 106599, precision: 0.44016
iter: 106799, precision: 0.43836
iter: 106999, precision: 0.43858
iter: 107199, precision: 0.44084
iter: 107399, precision: 0.44242
iter: 107599, precision: 0.44737
iter: 107799, precision: 0.44377
iter: 107999, precision: 0.43678
iter: 108199, precision: 0.44805
iter: 108399, precision: 0.44197
iter: 108599, precision: 0.44242
iter: 108799, precision: 0.44715
iter: 108999, precision: 0.44129
iter: 109199, precision: 0.44219
iter: 109399, precision: 0.43633
iter: 109599, precision: 0.44174
iter: 109799, precision: 0.43904
iter: 109999, precision: 0.43836
iter: 110199, precision: 0.43926
iter: 110399, precision: 0.44354
iter: 110599, precision: 0.44332
iter: 110799, precision: 0.43881
iter: 110999, precision: 0.44039
iter: 111199, precision: 0.43813
iter: 111399, precision: 0.44016
iter: 111599, precision: 0.43813
iter: 111799, precision: 0.44016
iter: 111999, precision: 0.44737
iter: 112199, precision: 0.44016
iter: 112399, precision: 0.44106
iter: 112599, precision: 0.44512
iter: 112799, precision: 0.44016
iter: 112999, precision: 0.44197
iter: 113199, precision: 0.44197
iter: 113399, precision: 0.43723
iter: 113599, precision: 0.44715
iter: 113799, precision: 0.44197
iter: 113999, precision: 0.44354
iter: 114199, precision: 0.43498
iter: 114399, precision: 0.44174
iter: 114599, precision: 0.43949
iter: 114799, precision: 0.44151
iter: 114999, precision: 0.44647
iter: 115199, precision: 0.44602
iter: 115399, precision: 0.44467
iter: 115599, precision: 0.44151
iter: 115799, precision: 0.44309
iter: 115999, precision: 0.44512
iter: 116199, precision: 0.44174
iter: 116399, precision: 0.44287
iter: 116599, precision: 0.44309
iter: 116799, precision: 0.44151
iter: 116999, precision: 0.44106
iter: 117199, precision: 0.44242
iter: 117399, precision: 0.44647
iter: 117599, precision: 0.44264
iter: 117799, precision: 0.44377
iter: 117999, precision: 0.44444
iter: 118199, precision: 0.44444
iter: 118399, precision: 0.44692
iter: 118599, precision: 0.43723
iter: 118799, precision: 0.44535
iter: 118999, precision: 0.43904
iter: 119199, precision: 0.44016
iter: 119399, precision: 0.44625
iter: 119599, precision: 0.43768
iter: 119799, precision: 0.44444
iter: 119999, precision: 0.43994
iter: 120199, precision: 0.43678
iter: 120399, precision: 0.43949
iter: 120599, precision: 0.43565
iter: 120799, precision: 0.44242
iter: 120999, precision: 0.44129
iter: 121199, precision: 0.44039
iter: 121399, precision: 0.44557
iter: 121599, precision: 0.44602
iter: 121799, precision: 0.43813
iter: 121999, precision: 0.44490
iter: 122199, precision: 0.44061
iter: 122399, precision: 0.44264
iter: 122599, precision: 0.44129
iter: 122799, precision: 0.44715
iter: 122999, precision: 0.43949
iter: 123199, precision: 0.44309
iter: 123399, precision: 0.44264
iter: 123599, precision: 0.43971
iter: 123799, precision: 0.44490
iter: 123999, precision: 0.44625
iter: 124199, precision: 0.44084
iter: 124399, precision: 0.44219
iter: 124599, precision: 0.44422
iter: 124799, precision: 0.44332
iter: 124999, precision: 0.44737
iter: 125199, precision: 0.44151
iter: 125399, precision: 0.44151
iter: 125599, precision: 0.44377
iter: 125799, precision: 0.44512
iter: 125999, precision: 0.44309
iter: 126199, precision: 0.44490
iter: 126399, precision: 0.44242
iter: 126599, precision: 0.45121
iter: 126799, precision: 0.44467
